"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","626","testPriceLowToHigh","Default Suite","Sat Apr 12 00:32:48 EET 2025","passed","Sat Apr 12 00:32:49 EET 2025","com.swaglabs.tests.SortingTest","simple_frame_work_practice-master (5)","com.swaglabs.tests.SortingTest","testPriceLowToHigh"
"","1025","testNameZToASort","Default Suite","Sat Apr 12 00:32:47 EET 2025","passed","Sat Apr 12 00:32:48 EET 2025","com.swaglabs.tests.SortingTest","simple_frame_work_practice-master (5)","com.swaglabs.tests.SortingTest","testNameZToASort"
"","1133","checkProductsAddedToTheCart","Default Suite","Sat Apr 12 00:32:36 EET 2025","passed","Sat Apr 12 00:32:37 EET 2025","com.swaglabs.tests.E2e","simple_frame_work_practice-master (5)","com.swaglabs.tests.E2e","checkProductsAddedToTheCart"
"","1645","successfullLogin","Default Suite","Sat Apr 12 00:32:33 EET 2025","passed","Sat Apr 12 00:32:34 EET 2025","com.swaglabs.tests.E2e","simple_frame_work_practice-master (5)","com.swaglabs.tests.E2e","successfullLogin"
"","771","testPriceHighToLow","Default Suite","Sat Apr 12 00:32:48 EET 2025","passed","Sat Apr 12 00:32:48 EET 2025","com.swaglabs.tests.SortingTest","simple_frame_work_practice-master (5)","com.swaglabs.tests.SortingTest","testPriceHighToLow"
"","744","testNameAToZSort","Default Suite","Sat Apr 12 00:32:46 EET 2025","passed","Sat Apr 12 00:32:46 EET 2025","com.swaglabs.tests.SortingTest","simple_frame_work_practice-master (5)","com.swaglabs.tests.SortingTest","testNameAToZSort"
"","574","proceedCheckoutOverview","Default Suite","Sat Apr 12 00:32:38 EET 2025","passed","Sat Apr 12 00:32:39 EET 2025","com.swaglabs.tests.E2e","simple_frame_work_practice-master (5)","com.swaglabs.tests.E2e","proceedCheckoutOverview"
"","1040","checkoutProcess","Default Suite","Sat Apr 12 00:32:37 EET 2025","passed","Sat Apr 12 00:32:38 EET 2025","com.swaglabs.tests.E2e","simple_frame_work_practice-master (5)","com.swaglabs.tests.E2e","checkoutProcess"
"","898","logout","Default Suite","Sat Apr 12 00:32:39 EET 2025","passed","Sat Apr 12 00:32:40 EET 2025","com.swaglabs.tests.E2e","simple_frame_work_practice-master (5)","com.swaglabs.tests.E2e","logout"
"","1209","addToCart","Default Suite","Sat Apr 12 00:32:35 EET 2025","passed","Sat Apr 12 00:32:36 EET 2025","com.swaglabs.tests.E2e","simple_frame_work_practice-master (5)","com.swaglabs.tests.E2e","addToCart"
"","2236","validateProductInInventoryPageIsSameAsProductInPDP","Default Suite","Sat Apr 12 00:32:55 EET 2025","passed","Sat Apr 12 00:32:57 EET 2025","com.swaglabs.tests.productValidation","simple_frame_work_practice-master (5)","com.swaglabs.tests.productValidation","validateProductInInventoryPageIsSameAsProductInPDP"
